Producing messages to topic 'device_topic'...
Sent: {'timestamp': 1757315458.5254443, 'temperature': 29.88, 'status': 'warning'}
Sent: {'timestamp': 1757315459.4340367, 'temperature': 27.63, 'status': 'error'}
Sent: {'timestamp': 1757315459.7690568, 'temperature': 28.66, 'status': 'warning'}
Sent: {'timestamp': 1757315460.1038494, 'temperature': 25.93, 'status': 'warning'}
Sent: {'timestamp': 1757315460.439274, 'temperature': 23.66, 'status': 'error'}
Sent: {'timestamp': 1757315460.7717235, 'temperature': 29.6, 'status': 'error'}
Sent: {'timestamp': 1757315461.1060622, 'temperature': 20.72, 'status': 'error'}
Sent: {'timestamp': 1757315461.4423993, 'temperature': 22.72, 'status': 'warning'}
Sent: {'timestamp': 1757315461.7811325, 'temperature': 28.65, 'status': 'error'}
Sent: {'timestamp': 1757315462.115673, 'temperature': 29.14, 'status': 'warning'}
Sent: {'timestamp': 1757315462.4505231, 'temperature': 25.49, 'status': 'ok'}
Sent: {'timestamp': 1757315462.7849808, 'temperature': 27.5, 'status': 'warning'}
Sent: {'timestamp': 1757315463.1203685, 'temperature': 29.89, 'status': 'warning'}
Sent: {'timestamp': 1757315463.4557009, 'temperature': 29.97, 'status': 'warning'}
Sent: {'timestamp': 1757315463.7908392, 'temperature': 25.31, 'status': 'ok'}
Sent: {'timestamp': 1757315464.1249974, 'temperature': 27.26, 'status': 'warning'}
Sent: {'timestamp': 1757315464.4593112, 'temperature': 24.92, 'status': 'error'}
Sent: {'timestamp': 1757315464.7936895, 'temperature': 27.12, 'status': 'warning'}
Sent: {'timestamp': 1757315465.1291196, 'temperature': 28.45, 'status': 'warning'}
Sent: {'timestamp': 1757315465.4650214, 'temperature': 21.41, 'status': 'error'}
Sent: {'timestamp': 1757315465.799403, 'temperature': 26.25, 'status': 'ok'}
Sent: {'timestamp': 1757315466.1343918, 'temperature': 28.15, 'status': 'ok'}
Sent: {'timestamp': 1757315466.4683352, 'temperature': 22.94, 'status': 'ok'}
Sent: {'timestamp': 1757315466.8035085, 'temperature': 21.89, 'status': 'warning'}
Sent: {'timestamp': 1757315467.1380925, 'temperature': 22.61, 'status': 'error'}
Sent: {'timestamp': 1757315467.472683, 'temperature': 20.68, 'status': 'ok'}
